Filename,Detected Objects
The_ghost_of_claim_jumpers_and_outlaws__many_sente.png,"restaurant, eating house, eating place, eatery (0.37), cinema, movie theater, movie theatre, movie house, picture palace (0.22), bakery, bakeshop, bakehouse (0.10)"
Reports_include_hearing_people_talking_and_screami.png,"sliding door (0.21), wardrobe, closet, press (0.20), vault (0.08), beacon, lighthouse, beacon light, pharos (0.06), spotlight, spot (0.04)"
There_is_a_haunted__seasonal__fire_station_in_the.png,"sliding door (0.55), shoji (0.17), bookcase (0.09), wardrobe, closet, press (0.03), china cabinet, china closet (0.02)"
In_the_early_1980_s_there_was_said_to_be_a_young_g.png,"mobile home, manufactured home (0.62), beacon, lighthouse, beacon light, pharos (0.08), monastery (0.06), boathouse (0.02), barn (0.02)"
A_few_years_ago__a_girl_hung_herself_on_the_bridge.png,"suspension bridge (0.25), pier (0.16), picket fence, paling (0.09), bannister, banister, balustrade, balusters, handrail (0.09), worm fence, snake fence, snake-rail fence, Virginia fence (0.08)"
It_has_been_said_that_the_boy_s_3rd_floor_restroom.png,"prison, prison house (0.93), vault (0.03)"
At_night__as_you_drive_up_the_main_drive_of_the_gr.png,"gown (0.71), groom, bridegroom (0.07), cloak (0.03), ice lolly, lolly, lollipop, popsicle (0.02)"
13105_W_Glendale___Sounds_of_babies_crying_and_lit.png,"home theater, home theatre (0.38), harp (0.31), television, television system (0.11), entertainment center (0.02)"
Now_housing_Louisiana_State_Police_Headquarters_an.png,"rapeseed (0.69), palace (0.05), prison, prison house (0.02), library (0.02)"
sightings_of_supernatural_beings_and_noises_heard.png,"shovel (0.45), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.15), broom (0.06), picket fence, paling (0.05), plunger, plumber's helper (0.04)"
In_The_Stillwater_High_School_in_room_201__late_at.png,"shoji (0.38), prison, prison house (0.26), window shade (0.09), window screen (0.02)"
The_theater_is_haunted_by_George__He_haunts_theatr.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.60), library (0.12), restaurant, eating house, eating place, eatery (0.04), palace (0.03), flagpole, flagstaff (0.02)"
The_second_floor_use_to_be_the_children_s_hospital.png,"library (0.43), palace (0.28), monastery (0.06), flagpole, flagstaff (0.03), prison, prison house (0.02)"
There_is_a_very_dense_forest_that_separates_2_neig.png,"water tower (0.12), worm fence, snake fence, snake-rail fence, Virginia fence (0.10), viaduct (0.07), lakeside, lakeshore (0.05), park bench (0.04)"
A_very_talented_drama_student_died_suddenly_back_i.png,"theater curtain, theatre curtain (0.91)"
Voices_in_the_former_eating_area_as_well_as_the_ce.png,"shoji (0.86), sliding door (0.06)"
